type_dossier,cumul_crd_immo,nbr_credit_immo,cumul_crd_conso,nbr_credit_conso,nbr_enfants,emprunteur_salaire,coemprunteur_salaire,emprunteur.situation_familiale.libelle,emprunteur.intitule,emprunteur.allocation_familiale,emprunteur.anciennete,emprunteur.dette_divers.retard_loyer,emprunteur.dette_divers.retard_impot,emprunteur.dette_divers.decouvert,emprunteur.charge.loyer,emprunteur.charge.charge_courante,emprunteur.complement.tresorerie,emprunteur.complement_banque.huissier,emprunteur.nombre_rejets,emprunteur.estimation_retraite,coemprunteur.situation_familiale.libelle,coemprunteur.intitule,coemprunteur.allocation_familiale,coemprunteur.anciennete,coemprunteur.nombre_rejets,coemprunteur.estimation_retraite,est_encaisse,emprunteur_subventions,coemprunteur_subventions,type_contrat_menage,CategorieDPT,age_cat,co_age_cat
proprietaire,0.0,0.0,24958.66,3.0,1,2146.0,0.0,Veuf/Veuve,Madame,0.0,34.0,0.0,0.0,2000.0,1.0,0.0,5000.0,False,0,868.6190476190476,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,60-65,10
proprietaire,0.0,0.0,38806.28,6.0,2,1182.02,2083.22,Marié(e),Madame,0.0,7.0,0.0,0.0,1500.0,630.0,0.0,5000.0,False,0,98.50166666666667,Marié(e),Monsieur,0.0,5.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,50-55,6
proprietaire,132568.0,1.0,9000.0,3.0,3,2160.0,1500.0,Marié(e),Monsieur,0.0,1.0,0.0,0.0,0.0,630.0,0.0,5000.0,False,0,25.71428571428571,Marié(e),Monsieur,0.0,1.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,4,40-45,2
proprietaire,149000.0,1.0,17000.0,2.0,0,1999.0,3499.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,900.0,0.0,5000.0,False,0,23.797619047619047,Célibataire,Monsieur,0.0,1.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,40-45,6
locataire,0.0,0.0,28000.0,4.0,5,2993.0,0.0,Marié(e),Monsieur,529.09,10.0,0.0,0.0,600.0,800.0,0.0,0.0,False,0,356.3095238095238,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,30-35,10
proprietaire,0.0,0.0,14500.0,3.0,2,2483.33,0.0,Divorcé(e),Monsieur,0.0,6.0,0.0,0.0,800.0,105.0,0.0,15000.0,False,0,177.38071428571428,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,45-50,10
proprietaire,0.0,0.0,3600.0,3.0,0,2329.0,0.0,Séparé(e),Monsieur,0.0,0.0,0.0,0.0,0.0,495.0,0.0,6000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,35-40,10
proprietaire,0.0,0.0,10000.0,2.0,0,900.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,630.0,0.0,20000.0,False,0,10.714285714285714,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,70+,10
proprietaire,0.0,0.0,17184.87,2.0,1,2668.0,0.0,Divorcé(e),Madame,0.0,0.3,0.0,0.0,2000.0,0.0,0.0,2500.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,50-55,10
proprietaire,144731.57,3.0,18600.0,3.0,0,2634.0,0.0,Célibataire,Monsieur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,40-45,10
locataire,0.0,0.0,39375.17,3.0,0,6000.0,0.0,Célibataire,Madame,0.0,5.0,0.0,0.0,6000.0,400.0,0.0,10000.0,False,0,357.1428571428571,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,30-35,10
proprietaire,85000.0,1.0,31640.0,3.0,1,2300.0,2200.0,Marié(e),Monsieur,0.0,17.0,0.0,0.0,300.0,0.0,0.0,20000.0,False,0,465.4761904761905,Marié(e),Madame,0.0,15.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,50-55,5
proprietaire,50000.0,1.0,17400.0,2.0,0,1400.0,0.0,Célibataire,Madame,0.0,20.0,0.0,0.0,0.0,1000.0,0.0,5000.0,False,0,333.3333333333333,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,70+,10
proprietaire,0.0,0.0,88507.0,1.0,2,1833.33,1800.0,Concubins,Monsieur,139.84,3.0,0.0,0.0,600.0,0.0,0.0,5000.0,False,0,65.47607142857142,Concubins,Madame,0.0,18.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,40-45,2
proprietaire,0.0,0.0,48500.0,3.0,2,0.0,2300.0,Concubins,Madame,148.52,11.0,0.0,0.0,800.0,900.0,0.0,0.0,False,0,0.0,Concubins,Monsieur,0.0,1.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,35-40,3
proprietaire,0.0,0.0,25000.0,2.0,0,2000.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5000.0,False,0,23.809523809523807,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,0,70+,10
proprietaire,285000.0,1.0,10950.55,3.0,0,1950.0,0.0,Célibataire,Monsieur,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5500.0,False,0,139.28571428571428,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,35-40,10
proprietaire,100000.0,1.0,32150.0,2.0,0,3000.0,0.0,Célibataire,Madame,0.0,23.0,0.0,0.0,1200.0,0.0,0.0,5000.0,False,0,821.4285714285716,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,50-55,10
locataire,0.0,0.0,0.0,0.0,0,0.0,0.0,Célibataire,Monsieur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,4,inconnu,10
proprietaire,0.0,0.0,105000.0,4.0,0,2190.0,0.0,Marié(e),Monsieur,0.0,21.0,0.0,0.0,300.0,1.0,0.0,5000.0,False,0,547.5,Marié(e),Madame,0.0,0.0,0.0,0.0,non_encaisse,0.0,800.0,CDI,1,55-60,7
proprietaire,0.0,0.0,36000.0,1.0,3,2700.0,1500.0,Marié(e),Monsieur,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5000.0,False,0,642.8571428571428,Marié(e),Madame,0.0,20.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,45-50,3
proprietaire,129161.0,1.0,53160.0,3.0,1,2488.91,2975.25,Marié(e),Monsieur,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10000.0,False,0,325.92869047619047,Marié(e),Madame,0.0,35.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,55-60,6
locataire,0.0,0.0,46000.0,5.0,0,3100.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,757.0,0.0,5000.0,False,0,36.904761904761905,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,0,50-55,10
